OBJECTNUMMER;Energielabel;COORDS;LNG;LAT;
3417;"C";"POLYGON((4.915582 52.354912,4.915162 52.354748,4.915095 52.354812,4.915518 52.354978,4.915582 52.354912))";"4,9153385";"52,3548625";
3418;"C";"POLYGON((4.802143 52.380677,4.801997 52.380677,4.801985 52.380935,4.802133 52.380937,4.802143 52.380677))";"4,802064";"52,380806";
3419;"E";"POLYGON((4.798207 52.360968,4.798095 52.360944,4.797931 52.36125,4.798042 52.361273,4.798207 52.360968))";"4,798069";"52,361109";
3420;"D";"POLYGON((4.942484 52.39375,4.942429 52.39368,4.941987 52.393812,4.942042 52.393881,4.942484 52.39375))";"4,9422355";"52,393782";
3421;"C";"POLYGON((4.890261 52.411924,4.889878 52.411622,4.889801 52.41166,4.89018 52.41196,4.890261 52.411924))";"4,890031";"52,411791";
3422;"C";"POLYGON((4.795905 52.36219,4.795754 52.36216,4.795645 52.362363,4.795741 52.362382,4.795724 52.362411,4.795835 52.362435,4.795855 52.3624,4.795798 52.362389,4.795905 52.36219))";"4,795775";"52,362297";
3423;"B";"POLYGON((4.898805 52.411589,4.898774 52.411519,4.898266 52.411604,4.898296 52.411673,4.898805 52.411589))";"4,8985355";"52,411596";
3424;"C";"POLYGON((4.991225 52.294074,4.991226 52.293791,4.991093 52.293791,4.991092 52.294074,4.991225 52.294074))";"4,991159";"52,293934";
3425;"E";"POLYGON((4.949759 52.340988,4.94943 52.340791,4.949338 52.340849,4.949663 52.341047,4.949759 52.340988))";"4,9495485";"52,3409175";
3426;"D";"POLYGON((4.829213 52.347277,4.829212 52.347247,4.828735 52.347245,4.828733 52.347323,4.829202 52.347327,4.829213 52.347277))";"4,828973";"52,347286";
3427;"E";"POLYGON((4.926459 52.343934,4.926081 52.343706,4.926 52.343757,4.926378 52.343985,4.926459 52.343934))";"4,9262295";"52,3438455";
3428;"D";"POLYGON((4.979548 52.290612,4.979551 52.290326,4.979419 52.290326,4.979416 52.290612,4.979548 52.290612))";"4,9794835";"52,290468";
